,label,concept,0,1,2,,MEAN,STD,,0,1,2
B07009_004E,Estimate!!Total!!Some college or associate's degree,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY EDUCATIONAL ATTAINMENT FOR CURRENT RESIDENCE IN THE UNITED STATES," 3,631.10 ", 757.35 ," 2,427.66 ",," 2,272.04 "," 1,178.35 ",, 1.15 , (1.29), 0.13 
B07009_005E,Estimate!!Total!!Bachelor's degree,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY EDUCATIONAL ATTAINMENT FOR CURRENT RESIDENCE IN THE UNITED STATES," 2,419.70 ", 265.99 ," 1,934.09 ",," 1,539.93 ", 922.37 ,, 0.95 , (1.38), 0.43 
B07009_006E,Estimate!!Total!!Graduate or professional degree,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY EDUCATIONAL ATTAINMENT FOR CURRENT RESIDENCE IN THE UNITED STATES," 1,427.23 ", 145.97 ," 1,304.90 ",, 959.37 , 577.32 ,, 0.81 , (1.41), 0.60 
B08006_017E,Estimate!!Total:!!Worked from home,SEX OF WORKERS BY MEANS OF TRANSPORTATION TO WORK, 841.08 , 83.21 , 591.46 ,, 505.25 , 315.35 ,, 1.06 , (1.34), 0.27 
B08101_049E,Estimate!!Total:!!Worked from home,MEANS OF TRANSPORTATION TO WORK BY AGE, 841.08 , 83.21 , 591.46 ,, 505.25 , 315.35 ,, 1.06 , (1.34), 0.27 
B19019_001E,Estimate!!Total:,MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS) BY HOUSEHOLD SIZE," (9,246,406.03)"," (21,049,032.37)"," (5,982,437.88)",," (12,092,625.43)"," 6,471,799.90 ",, 0.44 , (1.38), 0.94 
B25013_002E,Estimate!!Total!!Owner-occupied housing units,TENURE BY EDUCATIONAL ATTAINMENT OF HOUSEHOLDER," 4,011.53 ", 922.76 ," 3,309.34 ",," 2,747.88 "," 1,322.01 ",, 0.96 , (1.38), 0.42 
B25027_010E,Estimate!!Total!!Housing units without a mortgage,MORTGAGE STATUS BY AGE OF HOUSEHOLDER," 1,468.17 ", 493.00 ," 1,233.01 ",," 1,064.73 ", 415.51 ,, 0.97 , (1.38), 0.40 
B25031_001E,Estimate!!Median gross rent!!Total,MEDIAN GROSS RENT BY BEDROOMS," (41,327,763.87)"," (119,467,820.16)"," (43,949,570.48)",," (68,248,384.83)"," 36,233,422.72 ",, 0.74 , (1.41), 0.67 
B25032_013E,Estimate!!Total!!Renter-occupied housing units,TENURE BY UNITS IN STRUCTURE," 2,619.19 ", 535.57 ," 1,567.75 ",," 1,574.17 ", 850.65 ,, 1.23 , (1.22), (0.01)
B25036_002E,Estimate!!Total!!Owner occupied,TENURE BY YEAR STRUCTURE BUILT," 4,011.53 ", 922.76 ," 3,309.34 ",," 2,747.88 "," 1,322.01 ",, 0.96 , (1.38), 0.42 
B25038_009E,Estimate!!Total!!Renter occupied,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT," 2,619.19 ", 535.57 ," 1,567.75 ",," 1,574.17 ", 850.65 ,, 1.23 , (1.22), (0.01)
B25042_009E,Estimate!!Total!!Renter occupied,TENURE BY BEDROOMS," 2,619.19 ", 535.57 ," 1,567.75 ",," 1,574.17 ", 850.65 ,, 1.23 , (1.22), (0.01)
B25056_001E,Estimate!!Total:,CONTRACT RENT," 2,619.19 ", 535.57 ," 1,567.75 ",," 1,574.17 ", 850.65 ,, 1.23 , (1.22), (0.01)
B25087_001E,Estimate!!Total:,MORTGAGE STATUS AND SELECTED MONTHLY OWNER COSTS," 4,011.53 ", 922.76 ," 3,309.34 ",," 2,747.88 "," 1,322.01 ",, 0.96 , (1.38), 0.42 
B25087_002E,Estimate!!Total:!!Housing units with a mortgage:,MORTGAGE STATUS AND SELECTED MONTHLY OWNER COSTS," 2,543.36 ", 429.76 ," 2,076.34 ",," 1,683.15 ", 906.56 ,, 0.95 , (1.38), 0.43 
,,,,,,,,,,,,
,,,,,,,,,,,Not much going on,
